code,name
POL,Department of Police
HHS,Department of Health and Human Services
COR,Correction and Rehabilitation
HCA,Department of Housing and Community Affairs
POL,Department of Police
POL,Department of Police
FIN,Department of Finance
POL,Department of Police
HHS,Department of Health and Human Services
FRS,Fire and Rescue Services
POL,Department of Police
DGS,Department of General Services
DOT,Department of Transportation
HHS,Department of Health and Human Services
HHS,Department of Health and Human Services
DOT,Department of Transportation
DOT,Department of Transportation
POL,Department of Police
HHS,Department of Health and Human Services
DTS,Department of Technology Services
LIB,Department of Public Libraries
LIB,Department of Public Libraries
LIB,Department of Public Libraries
DOT,Department of Transportation
POL,Department of Police
HHS,Department of Health and Human Services
REC,Department of Recreation
DGS,Department of General Services
FRS,Fire and Rescue Services
POL,Department of Police
FIN,Department of Finance
DLC,Department of Liquor Control
DOT,Department of Transportation
POL,Department of Police
POL,Department of Police
DTS,Department of Technology Services
DLC,Department of Liquor Control
HHS,Department of Health and Human Services
DLC,Department of Liquor Control
POL,Department of Police
DGS,Department of General Services
POL,Department of Police
DOT,Department of Transportation
CEC,Community Engagement Cluster
DTS,Department of Technology Services
DLC,Department of Liquor Control
DOT,Department of Transportation
POL,Department of Police
FRS,Fire and Rescue Services
DGS,Department of General Services
SHF,Sheriff's Office
DOT,Department of Transportation
DPS,Department of Permitting Services
POL,Department of Police
HHS,Department of Health and Human Services
DTS,Department of Technology Services
DLC,Department of Liquor Control
COR,Correction and Rehabilitation
DLC,Department of Liquor Control
DLC,Department of Liquor Control
DOT,Department of Transportation
DOT,Department of Transportation
DLC,Department of Liquor Control
HHS,Department of Health and Human Services
HHS,Department of Health and Human Services
DLC,Department of Liquor Control
DOT,Department of Transportation
DLC,Department of Liquor Control
HHS,Department of Health and Human Services
HHS,Department of Health and Human Services
HHS,Department of Health and Human Services
DOT,Department of Transportation
DOT,Department of Transportation
DPS,Department of Permitting Services
POL,Department of Police
POL,Department of Police
DPS,Department of Permitting Services
LIB,Department of Public Libraries
FIN,Department of Finance
COR,Correction and Rehabilitation
DEP,Department of Environmental Protection
HHS,Department of Health and Human Services
HHS,Department of Health and Human Services
DOT,Department of Transportation
HHS,Department of Health and Human Services
HHS,Department of Health and Human Services
POL,Department of Police
HHS,Department of Health and Human Services
HHS,Department of Health and Human Services
HHS,Department of Health and Human Services
DOT,Department of Transportation
HHS,Department of Health and Human Services
HHS,Department of Health and Human Services
HHS,Department of Health and Human Services
HRC,Office of Human Rights
HHS,Department of Health and Human Services
DGS,Department of General Services
DOT,Department of Transportation
DOT,Department of Transportation
DLC,Department of Liquor Control
BOA,Board of Appeals Department
POL,Department of Police
REC,Department of Recreation
COR,Correction and Rehabilitation
COR,Correction and Rehabilitation
